No,Jenis Sampah Plastik,Link Rekomendasi,Harga Sebelum Daur Ulang,Harga Setelah Daur Ulang
1,Botol,https://youtube.com/playlist?list=PL-9Q_cqESEgmWhzEXvp0IsL2e0mGFXGRf&si=AiJYLtl4EMxEuPNI," Rp1,500.00 - Rp6,100.00 "," Rp20,000.00 - Rp150,000.00 "
2,Bubble Wrap,https://youtube.com/playlist?list=PLFQ7ZUgtJN4Z_LlW6pG24pFm_lBD-Enub&si=RFHClgthi5G7B_7Z," Rp1,300.00 - Rp1,800.00 "," Rp10,000.00 - Rp200,000.00 "
3,Container,https://youtube.com/playlist?list=PL-9Q_cqESEgkiPWTeCLiudAWuRoVN3D_i&si=1unr87ogvptHZnJD," Rp3,200.00 - Rp3,500.00 "," Rp25,000.00 - Rp100,000.00 "
4,Cup,https://youtube.com/playlist?list=PLFQ7ZUgtJN4a5OWqm-6S6uFMTu0v_fQ8Q&si=UOVW-ED5JIMzn0W1," Rp1,800.00 - Rp3,800.00 "," Rp25,000.00 - Rp135,000.00 "
5,Derigen,https://youtube.com/playlist?list=PLFQ7ZUgtJN4ZKbzDZVab2zm2Q-oWFHZlj&si=eo-KXHVjXxzouB2K," Rp1,000.00 - Rp2,500.00 "," Rp10,000.00 - Rp150,000.00 "
6,Ember,https://youtube.com/playlist?list=PLFQ7ZUgtJN4Y8VHXdoklYttssKtwzIY0T&si=B87bt--OelS1n5RQ," Rp1,000.00 - Rp2,500.00 "," Rp20,000.00 - Rp300,000.00 "
7,Galon,https://youtube.com/playlist?list=PL-9Q_cqESEgm19O7Yx6Y3hsgCTXS8YkDU&si=2eQoEMAZuOyhB-lP," Rp600.00 - Rp4,000.00 "," Rp10,000.00 - Rp150,000.00 "
8,Kantong Plastik,https://youtube.com/playlist?list=PLFQ7ZUgtJN4aWwUAp8XlHDQp0gvqAvkn8&si=UvFMnSKIalg5n037, Rp240.00 - Rp500.00 ," Rp10,000.00 - Rp100,000.00 "
9,Mika,https://youtube.com/playlist?list=PL-9Q_cqESEgkiPWTeCLiudAWuRoVN3D_i&si=1unr87ogvptHZnJD, Rp0.00 - Rp400.00 ," Rp25,000.00 - Rp100,000.00 "
10,Piring,https://youtube.com/playlist?list=PLFQ7ZUgtJN4ZjFpbfPVg82kyMLIRjc7VG&si=Vng--6ydABlQgGuf," Rp1,800.00 - Rp3,800.00 "," Rp15,000.00 - Rp200,000.00 "
11,Plastik Kemasan,https://youtube.com/playlist?list=PLFQ7ZUgtJN4b7CGcp4LYMn2T4okChOApL&si=BJ-Meoy0IxkAd-vS, Rp0.00 - Rp240.00 ," Rp10,000.00 - Rp200,000.00 "
12,Sedotan,https://youtube.com/playlist?list=PLFQ7ZUgtJN4ZQm-mNcWjIegdnWhmEf6ip&si=D-VDGYHB3za491FF," Rp1,000.00 - Rp1,200.00 "," Rp5,000.00 - Rp150,000.00 "
13,Toples,https://youtube.com/playlist?list=PL-9Q_cqESEgnnPCIbxW4ZK8DEPUzdSvEa&si=D-mQXvkBf2-Bgc9H," Rp3,200.00 - Rp3,500.00 "," Rp10,000.00 - Rp150,000.00 "
14,Tube,https://youtube.com/playlist?list=PL-9Q_cqESEgmWhzEXvp0IsL2e0mGFXGRf&si=AiJYLtl4EMxEuPNI," Rp1,400.00 - Rp6,200.00 "," Rp10,000.00 - Rp150,000.00 "
